IDInstituicao,NomeInstituicao,SiglaInstituicao,NomeMantenedora,RedeEnsino,TipoDeCategoriaAdministrativa,TIpoOrganizacaoAcademica,Endereco,NumEndereco,BairroEndereco,ComplementoEndereco,CEP
796,INSTITUTO DE CIÊNCIAS DA SAÚDE,ICS,FUNORTE FACULDADES UNIDAS DO NORTE MINAS LTDA,Privada,5,3,Avenida Osmane Barbosa,11.111,JK,,39404006.0
797,FACULDADE CIDADE DE COROMANDEL,FCC,ASSOCIACAO EDUCACIONAL DE COROMANDEL - AEC,Privada,5,3,Avenida Adolfo Timóteo da Silva,433,Brasil Novo,,38550000.0
798,FACULDADE DE ADMINISTRAÇÃO DE NOVA ANDRADINA - FANOVA,FANOVA,ASSOCIACAO EDUCACIONAL DO CONE SUL,Privada,5,3,Avenida Antonio Joaquim de Moura Andrade,910,Centro,,79750000.0
799,FACULDADES INTEGRADAS DE CASSILÂNDIA,FIC,SOCIEDADE EDUCACIONAL VALE DO APORE LTDA - EPP,Privada,4,3,Av.Presidente Dutra,1500,CENTRO,CENTRO,79540000.0
800,FACULDADE LUTERANA SÃO MARCOS,FALSM,COMUNIDADE EVANGELICA LUTERANA SAO MARCOS,Privada,5,3,Rua Dr. Mario Totta,260,Vila Agritter,,94820400.0
801,FACULDADE DOS CERRADOS PIAUIENSES,FCP,SOCIEDADE DE ENSINO SUPERIOR DO SUL DO PIAUI S/C LTDA - ME,Privada,4,3,Avenida Joaquina Nogueira de Oliveira,S/N,Aeroporto,Sítio IBC,64980000.0
802,FACULDADE DAS ATIVIDADES EMPRESARIAIS DE TERESINA,FAETE,FUNDACAO EDUCACIONAL DA ASSOCIACAO COMERCIAL PIAUIENSE,Privada,5,3,Avenida Doutor Nicanor Barreto,4381,Vale Quem Tem,,64057105.0
803,FACULDADE EDUCACIONAL DE ARAPOTI,FATI,CENTRO DE ENSINO TECNOLOGICO E SUPERIOR SS LTDA - EPP,Privada,4,3,Rua das Rosas,1,Residencial Inpacel,,84990000.0
804,Faculdade Assis Gurgacz,FAG TOLEDO,FUNDACAO ASSIS GURGACZ,Privada,5,3,Avenida Ministro Cirne Lima,2.565,Jardim Coopagro,,85903590.0
805,FACULDADE ADVENTISTA PARANAENSE,IAP,INSTITUICAO ADVENTISTA SUL BRASILEIRA DE EDUCACAO,Privada,5,3,Gleba Paiçandu,s/n,Zona Rural,Lote 80,87130000.0
806,FACULDADE ASTORGA,FAAST,FUNDACAO ASTORGA EDUCACAO PARA TODOS - FAET,Privada,5,3,Rua Bahia,263,Centro,,86730000.0
807,INSTITUTO SUPERIOR DO LITORAL DO PARANÁ,ISULPAR,CAEDRHS - ASSOCIACAO DE ENSINO,Privada,5,3,Rua Coronel José Lobo,800,Costeira,,83203310.0
808,CENTRO UNIVERSITÁRIO SOCIESC DE BLUMENAU,,SOCIEDADE DE EDUCACAO SUPERIOR E CULTURA - SOCIESC S.A.,Privada,4,2,Rua Pandiá Calógeras,272,Jardim Blumenau,,89010350.0
809,FACULDADE DE OLÍMPIA,,UNIESP S.A,Privada,4,3,Rua Bruno Riscali,S/Nº,Vila Hípica,,15400000.0
810,FACULDADE SANTA RITA,FASAR,DORA RISCALA NEMI COSTA S/S LTDA - EPP,Privada,4,3,Rua Doutor Mário Florence,144,Jardim Aeroporto,,14960000.0
811,FACULDADE NETWORK,NWK,COLEGIO NET WORK S/S LTDA,Privada,4,3,Avenida Ampélio Gazzetta,2445,Lopes Iglesias,,13460000.0
812,FACULDADE DO INTERIOR PAULISTA,FIP,SISTEMA EDUCACIONAL SANTA MONICA LTDA,Privada,4,3,Avenida Narcisa Chesini Ometto,3.555,Portal da Barra,,17340000.0
813,FACULDADE DE CIÊNCIAS AGRÁRIAS DE ANDRADINA,FCAA,FUNDACAO EDUCACIONAL DE ANDRADINA,Privada,5,3,Rua Amazonas,571,Sttela Maris,,16901160.0
814,FACULDADE MARECHAL RONDON,FMR,ASSOCIACAO EDUCACIONAL NOVE DE JULHO,Privada,5,3,Viscinal Nilo Lisboa Chavasco,5000,Chacara Saltinho,,18650000.0
815,FACULDADE DE CIÊNCIAS HUMANAS DE AGUAÍ,FACHA,"GRUPO PARA EDUCACAO, CULTURA E FORMACAO PROFISSIONAL LIBERDADE & VIVENCIA S/S LTDA - ME",Privada,4,3,Rua Xv de Novembro,1326,Centro,,13860000.0
816,FACULDADE PITÁGORAS DE LONDRINA,,UNIAO DE ENSINO UNOPAR LTDA,Privada,4,3,Rua Edwy Taques de Araújo,1.100,Jardim Burle Marx,Gleba Palhano,86047790.0
817,FACULDADE DE CIÊNCIAS JURÍDICAS E SOCIAIS DE MACEIÓ,FAMA,ALAGOAS EDUCACIONAL DE ENSINO SUPERIOR LTDA - EPP,Privada,4,3,Rua Roberto Simonsen,s/n,Gruta de Lourdes,,57052675.0
818,FACULDADE DO AMAZONAS,IAES,INSTITUTO AMAZONIA DE ENSINO SUPERIOR LTDA - EPP,Privada,4,3,Rua Pará,885,Nossa Senhora das Graças,Unidade SEDE,69053575.0
819,FACULDADE HÉLIO ROCHA,FHR,SOCIEDADE INTEGRAL DE ENSINO SOCIEDADE SIMPLES LTDA.,Privada,4,3,Rua Fernando Menezes de Goes,570,Pituba,,41820035.0
820,CENTRO UNIVERSITÁRIO AGES,UniAGES,AGES EMPREENDIMENTOS EDUCACIONAIS LTDA,Privada,4,2,Avenida Universitária,23,Centro,Parque das Palmeiras,48430000.0
821,CENTRO UNIVERSITÁRIO SOCIAL DA BAHIA,UNISBA,ASSOCIACAO BRASILEIRA DE EDUCACAO FAMILIAR E SOCIAL,Privada,5,2,Avenida Oceânica,2717,Ondina,,40170110.0
822,FACULDADE DE TECNOLOGIA E CIÊNCIAS DE ITABUNA,FTC,INSTITUTO MANTENEDOR DE ENSINO SUPERIOR DA BAHIA LTDA - ME,Privada,4,3,Praça José Bastos,55,Centro,,45600080.0
823,FACULDADE ANÍSIO TEIXEIRA DE FEIRA DE SANTANA,FAT,SOCIEDADE CIENTIFICA E CULTURAL ANISIO TEIXEIRA LTDA,Privada,5,3,Rua Juracy Magalhães,222,Ponto Central,- até 558/559,44075525.0
824,FACULDADE UNIME DE EDUCAÇÃO E COMUNICAÇÃO,FEC,UNIME - UNIAO METROPOLITANA PARA O DESENVOLVIMENTO DA EDUCACAO E CULTURA LTDA.,Privada,4,3,Avenida Luiz Tarquínio Pontes,600,Centro,,42702420.0
825,FACULDADE DE TECNOLOGIA E CIÊNCIAS DE JEQUIÉ,FTC,INSTITUTO MANTENEDOR DE ENSINO SUPERIOR DA BAHIA LTDA - ME,Privada,4,3,Av Avenida Adolfo Ribeiro,357,São Judas Tadeu,,45204068.0
826,FACULDADE DE EDUCAÇÃO CIÊNCIAS E LETRAS DE PARAÍSO,FECIPAR,FUNDACAO EDUCACIONAL DE PARAISO DO TOCANTINS FEPAR,Pública,3,3,Rua L-20,S/N,Interlagos,,77600000.0
827,FACULDADE DE ENSINO E CULTURA DO CEARÁ,FAECE,ASCEC ENSINO SUPERIOR CEARENSE S/S/ LTDA.,Privada,4,3,Rua Caetano Ximenes Aragão,110,Engenheiro Luciano Cavalcante,Instituto de Ensino,60813620.0
828,FACULDADE DE CIÊNCIA E EDUCAÇÃO DO CAPARAÓ,FACEC,SOCIEDADE EDUCACIONAL SUPERIOR LTDA,Privada,4,3,Avenida José Alexandre,713,Centro,,29560000.0
829,FACULDADE CENECISTA DE SETE LAGOAS,FCSL,CAMPANHA NACIONAL DE ESCOLAS DA COMUNIDADE,Privada,5,3,Rua Pedro Gabriel de Lima,20,Jardim Arizona,,35700377.0
830,INSTITUTO DE ENSINO SUPERIOR DE TERESINA,IEST,AESPI ENSINO SUPERIOR DO PIAUI LTDA.,Privada,5,3,Rua Walfran Batista,91,São Cristóvão,,64046470.0
831,CENTRO UNIVERSITÁRIO UNISEP,,UNISEP-UNIAO DE ENSINO DO SUDOESTE DO PARANA S/C LTDA,Privada,4,2,Avenida Presidente Kennedy,2.601,Nossa Senhora Aparecida,,85660000.0
832,CENTRO UNIVERSITÁRIO DA GRANDE FORTALEZA,UNIGRANDE,CEUDESP - CENTRO DE EDUCACAO UNIVERSITARIO E DESENVOLVIMENTO PROFISSIONAL LTDA,Privada,4,2,Avenida Porto Velho,401,João XXIII,,60150040.0
833,FACULDADE ESTÁCIO DE SÁ DE OURINHOS,FAESO,SOCIEDADE DE ENSINO SUPERIOR ESTACIO DE SA LTDA,Privada,4,3,Avenida Luiz Saldanha Rodrigues,s/n,Nova Ourinhos,Quadra C1-A,19907510.0
834,CENTRO UNIVERSITÁRIO ESTÁCIO DE BRASÍLIA - ESTÁCIO BRASÍLIA,ESTÁCIO BRASÍLIA,IESST - INSTITUTO DE ENSINO SUPERIOR SOCIAL E TECNOLOGICO,Privada,4,2,CSG 09,Lotes 15/1,Taguatinga,,72035509.0
